customer_id_encoded,product_title_encoded,product_type_encoded
0,"[129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129, 129]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
1,"[129, 45]","[6, 2]"
2,"[129, 42, 13, 45, 126, 129]","[6, 2, 2, 2, 2, 6]"
3,"[129, 27, 135, 17, 85, 101, 129, 129, 81, 52, 129]","[6, 5, 6, 6, 6, 6, 6, 6, 4, 2, 6]"
4,"[84, 129]","[6, 6]"
5,"[129, 39, 114, 129, 66, 133, 129, 128, 108, 114, 129, 129, 128]","[6, 6, 6, 6, 4, 4, 6, 4, 4, 4, 6, 6, 4]"
6,"[51, 51, 51, 129, 126, 126, 129, 129]","[6, 6, 6, 6, 2, 2, 6, 6]"
7,"[129, 67]","[6, 2]"
8,"[129, 53]","[6, 2]"
9,"[49, 129]","[5, 6]"
10,"[126, 129]","[2, 6]"
11,"[37, 129]","[6, 6]"
12,"[100, 129, 126, 30, 129]","[6, 6, 2, 2, 6]"
13,"[81, 129, 66, 85, 129, 60, 54]","[4, 6, 6, 6, 6, 4, 6]"
14,"[129, 131]","[6, 2]"
15,"[129, 129, 98, 129, 92, 126]","[6, 6, 2, 6, 2, 2]"
16,"[129, 16, 129, 16, 16, 129]","[6, 2, 6, 2, 2, 6]"
17,"[129, 16, 133, 54, 54, 133, 129]","[6, 2, 4, 6, 6, 4, 6]"
18,"[30, 129, 133, 129]","[2, 6, 6, 6]"
19,"[129, 126]","[6, 2]"
20,"[129, 119, 72, 129]","[6, 2, 2, 6]"
21,"[37, 129]","[6, 6]"
22,"[111, 129, 129]","[2, 6, 6]"
23,"[119, 129]","[2, 6]"
24,"[129, 118]","[6, 4]"
25,"[129, 59, 129, 23, 129, 88, 128, 129, 53, 129, 138, 129, 129, 30]","[6, 6, 6, 6, 6, 6, 4, 6, 2, 6, 2, 6, 6, 2]"
26,"[129, 109]","[6, 2]"
27,"[39, 48, 135, 4, 129, 104]","[6, 6, 6, 6, 6, 6]"
28,"[133, 128, 129]","[4, 4, 6]"
29,"[129, 126, 96, 129, 31, 129, 128, 129, 18]","[6, 2, 2, 6, 2, 6, 7, 6, 4]"
30,"[80, 129, 129, 59, 69, 129]","[4, 6, 6, 6, 2, 6]"
31,"[129, 104]","[6, 4]"
32,"[86, 129]","[2, 6]"
33,"[129, 111]","[6, 2]"
34,"[129, 129, 19, 19, 129, 19, 55, 129, 80, 129, 129, 57, 126, 129]","[6, 6, 6, 6, 6, 6, 2, 6, 4, 6, 6, 2, 2, 6]"
35,"[103, 69, 129]","[2, 2, 6]"
36,"[101, 129]","[6, 6]"
37,"[45, 129, 45, 129, 45, 129]","[2, 6, 2, 6, 2, 6]"
38,"[126, 129]","[2, 6]"
39,"[129, 80]","[6, 4]"
40,"[129, 126, 111]","[6, 2, 2]"
41,"[126, 129]","[2, 6]"
42,"[129, 19, 129, 138, 23]","[6, 4, 6, 2, 4]"
43,"[73, 129, 73, 80, 129, 80, 129, 81, 19, 129, 45]","[6, 6, 6, 4, 6, 4, 6, 4, 4, 6, 4]"
44,"[126, 111, 129]","[2, 2, 6]"
45,"[129, 101, 17, 129, 54]","[6, 4, 4, 6, 6]"
46,"[72, 129]","[2, 6]"
47,"[69, 43, 129, 129, 87]","[2, 2, 6, 6, 1]"
48,"[129, 111]","[6, 2]"
49,"[100, 129, 111, 129]","[6, 6, 2, 6]"
50,"[129, 45, 73, 114, 129, 128]","[6, 2, 6, 4, 6, 4]"
51,"[129, 39]","[6, 4]"
52,"[129, 43]","[6, 2]"
53,"[129, 111, 37, 129, 73, 73, 37, 28, 37, 111, 129]","[6, 2, 6, 6, 6, 6, 6, 6, 6, 2, 6]"
54,"[135, 129]","[6, 6]"
55,"[28, 129, 73, 129, 40]","[6, 6, 6, 6, 6]"
56,"[129, 126]","[6, 2]"
57,"[37, 129, 28, 23, 128, 129]","[6, 6, 4, 4, 4, 6]"
58,[51],[6]
59,"[30, 129]","[2, 6]"
60,"[129, 111, 30, 129, 37, 133, 114, 17, 129, 138, 126, 129, 126, 129, 76]","[6, 2, 2, 6, 6, 6, 6, 6, 6, 2, 2, 6, 2, 6, 2]"
61,"[111, 129, 73]","[2, 6, 6]"
62,"[127, 129, 134, 59, 135]","[4, 6, 4, 4, 6]"
63,"[76, 133, 104, 129, 129, 55]","[2, 6, 6, 6, 6, 2]"
64,"[19, 129, 129, 126]","[6, 6, 6, 2]"
65,"[72, 129, 129, 133]","[2, 6, 6, 6]"
66,"[129, 108, 48, 129]","[6, 6, 6, 6]"
67,"[73, 133, 129]","[6, 6, 6]"
68,"[111, 129]","[2, 6]"
69,"[69, 129, 129, 126, 40, 79, 3, 33, 33, 129, 43, 129, 133, 129, 80, 114, 129, 73, 129, 140, 37, 83, 43]","[2, 6, 6, 2, 6, 6, 6, 2, 2, 6, 2, 6, 4, 6, 4, 4, 6, 2, 6, 1, 4, 2, 2]"
70,"[129, 133]","[6, 6]"
71,"[126, 129, 129, 73, 127, 133, 133, 129, 54]","[2, 6, 6, 6, 4, 4, 4, 6, 6]"
72,"[67, 129]","[2, 6]"
73,"[38, 129, 73]","[5, 6, 5]"
74,"[73, 68, 129]","[6, 6, 6]"
75,"[129, 114]","[6, 6]"
76,"[31, 129]","[2, 6]"
77,"[129, 86]","[6, 2]"
78,"[129, 133]","[6, 6]"
79,"[129, 126, 111]","[6, 2, 2]"
80,"[129, 111]","[6, 2]"
81,"[66, 129, 22, 76, 129]","[6, 6, 6, 2, 6]"
82,"[129, 73, 126, 129]","[6, 6, 2, 6]"
83,"[74, 129]","[5, 6]"
84,"[93, 129, 19]","[2, 6, 6]"
85,"[126, 129]","[2, 6]"
86,"[101, 129]","[4, 6]"
87,"[86, 129]","[2, 6]"
88,"[129, 69]","[6, 2]"
89,"[129, 126, 129, 81, 129, 128, 80]","[6, 2, 6, 4, 6, 4, 4]"
90,"[86, 129, 129, 119, 48]","[2, 6, 6, 2, 6]"
91,"[104, 73, 129, 129, 114]","[6, 6, 6, 6, 6]"
92,"[55, 129]","[2, 6]"
93,"[129, 14, 59, 129, 13, 129]","[6, 6, 6, 6, 2, 6]"
94,"[129, 134, 103, 59, 65, 64, 129]","[6, 4, 2, 4, 4, 2, 6]"
95,"[129, 133, 114]","[6, 6, 6]"
96,"[19, 129]","[6, 6]"
97,"[73, 129]","[6, 6]"
98,"[129, 19]","[6, 6]"
99,"[129, 33]","[6, 2]"
100,"[51, 51]","[6, 6]"
101,"[129, 37]","[6, 4]"
102,"[129, 66]","[6, 6]"
103,"[129, 45, 30]","[6, 2, 2]"
104,"[3, 129]","[6, 6]"
